Player Name,Age,Positions,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Ryan Suter,41,D,STL,$1,17.47,0.09,1.76,82,82,17.47,0.09,1.76,19.32,3,15,18,0,1,1,0,1,1,45,109,24,0,0,69,2,-509,520,-263,146,8470600,,,
Jakub Lauko,25,C,BOS,$1,9.85,0.24,0.68,74,74,9.85,0.24,0.68,10.77,8,10,18,1,1,2,0,1,1,162,40,36,2,10,62,-4,-499,512,-148,141,8480880,,,
Justin Bailey,30,RW,SJ,$1,10.78,0.14,0.41,69,69,10.78,0.14,0.41,11.32,7,11,18,0,0,0,0,0,0,91,36,8,7,11,76,-5,-771,661,-467,146,8477473,,,
Akil Thomas,26,C,LA,"$775,000",9.89,0.15,0.00,70,70,9.89,0.15,0.00,10.03,8,10,18,0,0,0,0,0,0,110,31,13,43,58,62,-2,-788,670,-437,155,8480851,,,
Egor Afanasyev,25,LW,SJ,"$800,000",10.84,0.21,0.00,68,68,10.84,0.21,0.00,11.06,8,10,18,0,1,1,0,0,0,88,43,10,0,0,73,-3,-731,649,-431,144,8481585,,,
Spencer Stastney,26,D,NSH,"$825,000",16.50,0.07,1.32,70,70,16.50,0.07,1.32,17.89,4,14,18,0,0,0,0,0,0,23,90,17,0,0,59,0,-671,617,-425,126,8481056,,,
Ivan Ivan,23,C,COL,"$845,000",9.37,1.11,0.01,55,55,9.37,1.11,0.01,10.49,9,9,18,3,2,5,0,0,0,18,15,9,75,107,54,-2,-970,732,-619,145,8483930,,,
Uvis Balinskis,29,D,FLA,"$850,000",13.47,0.85,0.45,72,72,13.47,0.85,0.45,14.77,4,14,18,1,4,5,0,0,0,76,57,21,0,0,80,2,-541,539,-295,150,8484304,,,
Zac Jones,25,D,BUF,"$900,000",15.57,1.27,0.08,52,52,15.57,1.27,0.08,16.93,4,14,18,1,4,5,0,0,0,31,52,17,0,0,64,-2,-688,627,-443,123,8481708,,,
John Beecher,24,C,BOS,"$900,000",9.89,0.14,1.52,76,76,9.89,0.14,1.52,11.54,8,10,18,0,0,0,0,1,1,107,59,25,258,221,55,-4,-654,609,-303,238,8481556,,,
Adam Edstrom,25,C,NYR,"$975,000",9.35,0.13,0.02,72,72,9.35,0.13,0.02,9.51,10,8,18,0,0,0,0,0,0,131,45,25,0,4,59,-2,-636,592,-285,137,8481726,,,
Cole Koepke,27,LW,WPG,"$1,000,000",10.26,0.06,0.63,69,69,10.26,0.06,0.63,10.94,10,8,18,0,0,0,0,0,0,151,27,13,0,2,72,-2,-651,605,-351,152,8481043,,,
Tye Kartye,24,LW,SEA,"$1,250,000",9.87,0.13,0.37,69,69,9.87,0.13,0.37,10.36,8,10,18,0,0,0,0,0,0,193,27,31,11,16,71,-2,-468,488,-168,156,8481789,,,
Sam Malinski,27,D,COL,"$1,400,000",15.22,0.29,0.23,72,72,15.22,0.29,0.23,15.74,5,13,18,0,1,1,0,0,0,47,90,17,0,0,103,3,-533,532,-287,176,8484258,,,
Niko Mikkola,29,D,FLA,"$2,500,000",18.18,0.13,1.92,78,78,18.18,0.13,1.92,20.23,5,13,18,0,1,1,0,1,1,135,101,56,0,0,103,14,-96,241,149,188,8478859,,,
Ian Cole,36,D,UTA,"$2,800,000",17.22,0.06,2.76,81,81,17.22,0.06,2.76,20.04,3,15,18,0,0,0,0,1,1,93,174,54,0,0,70,5,-68,222,178,171,8474013,,,
Mario Ferraro,27,D,SJ,"$3,250,000",18.78,0.13,2.72,78,78,18.78,0.13,2.72,21.64,5,13,18,0,1,1,0,1,1,134,141,40,0,0,88,-18,-123,255,122,182,8479983,,,
Radko Gudas,35,D,ANA,"$4,000,000",17.28,0.05,2.52,78,78,17.28,0.05,2.52,19.85,3,15,18,0,0,0,0,1,1,243,161,81,0,0,93,-3,379,55,625,206,8475462,,,
Chris Tanev,36,D,TOR,"$4,500,000",17.28,0.06,2.43,74,74,17.28,0.06,2.43,19.77,2,16,18,0,0,0,0,1,1,25,169,22,0,0,45,14,-457,476,-211,149,8475690,,,
Erik Cernak,28,D,TB,"$5,200,000",15.98,0.05,2.43,74,74,15.98,0.05,2.43,18.46,3,15,18,0,0,0,1,0,1,151,99,46,0,0,63,11,-229,324,17,156,8478416,,,
Matthew Phillips,27,RW,COL,$1,9.45,0.96,0.03,58,58,9.45,0.96,0.03,10.43,6,11,17,1,2,3,0,0,0,16,27,5,2,4,48,-2,-972,733,-668,100,8479547,,,
Nathan Walker,31,LW,STL,"$775,000",10.85,0.18,0.59,72,72,10.85,0.18,0.59,11.62,8,9,17,0,1,1,0,1,1,224,54,36,68,62,63,-3,-320,381,-20,188,8477573,,,
Jacob MacDonald,32,D,COL,"$775,000",10.75,1.29,0.03,74,74,10.75,1.29,0.03,12.07,7,10,17,2,5,7,0,0,0,67,49,20,0,0,91,-7,-540,537,-294,154,8479439,,,
Adam Wilsby,25,D,NSH,"$775,000",16.57,0.06,1.49,64,64,16.57,0.06,1.49,18.12,4,13,17,0,0,0,0,1,1,50,70,16,0,0,86,4,-641,595,-395,150,8482482,,,
Kyle MacLean,26,C,NYI,"$775,000",9.82,0.08,0.22,74,74,9.82,0.08,0.22,10.11,7,10,17,0,0,0,0,0,0,107,24,15,227,259,58,-4,-817,686,-466,229,8481237,,,
Joshua Roy,22,RW,MTL,"$835,000",11.91,0.98,0.00,34,34,11.91,0.98,0.00,12.90,8,9,17,1,2,3,0,0,0,19,27,4,3,6,57,-1,-951,727,-647,112,8482749,,,
Brett Berard,23,LW,NYR,"$867,500",10.96,0.20,0.00,49,49,10.96,0.20,0.00,11.16,9,8,17,0,0,0,0,0,0,74,27,10,4,5,76,-3,-809,683,-510,136,8482132,,,
Ty Dellandrea,25,C,SJ,"$1,300,000",11.03,0.25,1.28,69,69,11.03,0.25,1.28,12.56,7,10,17,1,1,2,1,0,1,148,40,39,162,161,68,-10,-504,515,-153,206,8480848,,,
Declan Chisholm,26,D,WSH,"$1,600,000",15.75,1.01,0.27,65,65,15.75,1.01,0.27,17.02,3,14,17,1,4,5,0,0,0,30,72,16,0,0,64,-1,-654,610,-409,128,8480990,,,
Carl Grundstrom,28,RW,SJ,"$1,800,000",9.54,0.19,0.21,67,67,9.54,0.19,0.21,9.93,8,9,17,0,1,1,0,0,0,187,21,16,3,4,97,-3,-544,540,-240,178,8479336,,,
Noel Acciari,34,"C,RW",PIT,"$2,000,000",11.11,0.09,2.25,78,78,11.11,0.09,2.25,13.46,8,9,17,0,0,0,0,1,1,179,97,15,240,189,77,-8,-412,446,-108,281,8478569,,,
Sam Lafferty,30,"C,RW",CHI,"$2,000,000",9.67,0.18,0.52,73,73,9.67,0.18,0.52,10.36,8,9,17,0,0,0,0,1,1,113,25,22,99,104,61,-7,-703,636,-399,166,8478043,,,
Nico Sturm,30,C,MIN,"$2,000,000",9.57,0.17,1.39,72,72,9.57,0.17,1.39,11.12,8,9,17,0,0,0,0,1,1,111,38,14,284,179,70,-8,-754,655,-403,244,8481477,,,
Nick Seeler,32,D,PHI,"$2,700,000",15.60,0.05,1.58,78,78,15.60,0.05,1.58,17.23,3,14,17,0,0,0,0,1,1,120,192,48,0,0,93,6,22,165,268,207,8476372,,,
Barclay Goodrow,32,C,SJ,"$3,641,667",11.02,0.49,1.94,77,77,11.02,0.49,1.94,13.44,7,10,17,1,1,2,1,0,1,142,66,52,126,117,70,-16,-358,412,-7,189,8476624,,,
Joel Edmundson,32,D,LA,"$3,850,000",18.00,0.12,2.04,73,73,18.00,0.12,2.04,20.16,4,13,17,0,1,1,0,0,0,97,117,27,0,0,86,4,-351,405,-105,176,8476441,,,
Connor Murphy,32,D,CHI,"$4,400,000",18.17,0.09,2.24,78,78,18.17,0.09,2.24,20.50,4,13,17,0,0,0,0,1,1,136,173,48,0,0,86,-13,-10,188,236,188,8476473,,,
Noah Gregor,27,C,SJ,$1,10.46,0.23,0.81,70,70,10.46,0.23,0.81,11.49,8,8,16,0,1,1,1,0,1,128,39,25,7,6,99,-9,-593,573,-243,164,8479393,,,
Oliver Wahlstrom,25,RW,NYI,$1,9.73,1.05,0.01,52,52,9.73,1.05,0.01,10.80,7,9,16,2,2,4,0,0,0,49,31,22,8,5,67,-3,-752,654,-448,119,8480789,,,
Trevor Lewis,39,C,LA,$1,9.39,0.10,0.88,74,74,9.39,0.10,0.88,10.37,8,8,16,0,0,0,0,1,1,113,42,17,99,117,83,-1,-705,639,-354,199,8473453,,,
Rasmus Kupari,25,C,WPG,$1,9.24,0.25,0.99,68,68,9.24,0.25,0.99,10.49,7,9,16,1,1,2,0,1,1,84,34,13,230,210,65,-1,-815,685,-464,227,8480845,,,
Jimmy Vesey,32,LW,COL,$1,10.36,0.12,0.51,60,60,10.36,0.12,0.51,10.98,8,8,16,0,0,0,0,0,0,50,21,9,4,15,60,-1,-914,711,-615,114,8476918,,,
Curtis Lazar,30,C,EDM,"$775,000",9.63,0.21,0.94,70,70,9.63,0.21,0.94,10.78,6,10,16,0,1,1,0,1,1,152,41,23,227,222,51,-3,-652,608,-301,228,8477508,,,
Vinni Lettieri,30,C,TOR,"$775,000",11.77,0.90,0.07,44,44,11.77,0.90,0.07,12.73,8,8,16,1,1,2,0,0,0,87,27,13,24,20,69,-3,-818,687,-467,139,8479968,,,
Colin Blackwell,32,C,DAL,"$775,000",9.68,0.15,1.79,69,69,9.68,0.15,1.79,11.61,7,9,16,0,0,0,1,0,1,81,28,11,80,86,73,-2,-858,698,-507,167,8476278,,,
Hudson Fasching,30,RW,CBJ,"$775,000",11.04,0.18,0.03,60,60,11.04,0.18,0.03,11.25,7,9,16,0,0,0,0,0,0,42,29,9,2,10,62,-2,-911,710,-607,114,8477392,,,
Valtteri Puustinen,26,RW,PIT,"$775,000",10.74,1.33,0.00,36,36,10.74,1.33,0.00,12.06,6,10,16,1,2,3,0,0,0,30,23,5,1,2,53,1,-957,729,-653,105,8481703,,,
Liam Foudy,25,C,NYI,"$775,000",11.10,0.17,1.02,54,54,11.10,0.17,1.02,12.30,8,8,16,0,0,0,0,0,0,56,21,6,2,4,57,-6,-980,739,-629,109,8480853,,,
Emil Lilleberg,24,D,TB,"$800,000",14.57,0.04,0.87,73,73,14.57,0.04,0.87,15.48,2,14,16,0,0,0,0,0,0,117,69,56,0,0,54,-1,-339,396,-93,111,8482929,,,
Cole Schwindt,24,RW,VGK,"$825,000",9.23,0.10,0.27,64,64,9.23,0.10,0.27,9.59,6,10,16,0,0,0,0,0,0,63,24,5,150,150,56,0,-927,719,-623,179,8481655,,,
Dominic Toninato,31,C,CHI,"$850,000",10.21,0.00,0.05,52,52,10.21,0.00,0.05,10.26,7,9,16,0,0,0,0,0,0,76,26,10,143,153,50,0,-921,713,-570,175,8476952,,,
Owen Pickering,22,D,PIT,"$886,667",16.67,0.02,1.34,70,70,16.67,0.02,1.34,18.03,4,12,16,0,0,0,0,0,0,42,79,19,0,0,65,-2,-658,612,-413,126,8483503,,,
Tyler Tucker,25,D,STL,"$925,000",16.75,0.06,0.76,70,70,16.75,0.06,0.76,17.57,5,11,16,0,0,0,0,0,0,170,89,80,0,0,74,1,8,174,254,142,8481006,,,
Henry Thrun,24,D,TOR,"$1,000,000",16.33,0.34,1.26,70,70,16.33,0.34,1.26,17.94,3,13,16,0,1,1,0,0,0,45,81,25,0,0,62,-21,-605,581,-360,113,8481567,,,
Daniil Miromanov,28,D,CGY,"$1,250,000",17.33,0.55,0.25,58,58,17.33,0.55,0.25,18.13,4,12,16,0,2,2,0,0,0,24,73,16,0,0,76,-3,-681,621,-436,133,8482624,,,
Steven Lorentz,29,"LW,RW",TOR,"$1,350,000",9.25,0.15,1.01,75,75,9.25,0.15,1.01,10.41,7,9,16,0,1,1,1,0,1,166,45,13,47,55,71,-2,-591,571,-291,179,8478904,,,
Colin Miller,33,D,WPG,"$1,500,000",14.03,0.43,0.32,65,65,14.03,0.43,0.32,14.78,4,12,16,0,2,2,0,0,0,89,52,31,0,0,77,4,-523,527,-278,137,8476525,,,
Zach Whitecloud,29,D,VGK,"$2,750,000",16.40,0.04,1.15,76,76,16.40,0.04,1.15,17.60,4,12,16,0,0,0,0,0,0,116,111,35,0,0,69,6,-332,392,-87,157,8480727,,,
Andrew Peeke,27,D,BOS,"$2,750,000",16.52,0.09,1.80,73,73,16.52,0.09,1.80,18.41,3,13,16,0,0,0,0,1,1,106,131,19,0,0,76,-3,-391,432,-145,171,8479369,,,
Carson Soucy,31,D,NYR,"$3,250,000",15.89,0.23,1.74,75,75,15.89,0.23,1.74,17.85,4,12,16,0,1,1,0,0,0,107,105,39,0,0,73,-3,-319,380,-73,150,8477369,,,
Jonas Siegenthaler,28,D,NJ,"$3,400,000",17.58,0.07,1.94,80,80,17.58,0.07,1.94,19.59,3,13,16,0,0,0,0,1,1,99,132,42,0,0,79,13,-246,334,0,169,8478399,,,
Nicolas Hague,27,D,NSH,"$5,500,000",18.07,0.04,1.09,74,74,18.07,0.04,1.09,19.20,4,12,16,0,0,0,0,0,0,101,104,36,0,0,93,-2,-327,390,-81,168,8479980,,,
Gustav Lindstrom,27,D,ANA,$1,15.32,0.14,0.27,67,67,15.32,0.14,0.27,15.73,3,12,15,0,1,1,0,0,0,71,80,28,0,0,42,-4,-587,567,-342,106,8480184,,,
Cam Atkinson,36,RW,TB,$1,8.70,0.79,0.33,54,54,8.70,0.79,0.33,9.83,7,8,15,1,1,2,0,0,0,22,19,13,2,3,67,-3,-921,714,-617,106,8474715,,,
Scott Perunovich,27,D,STL,"$775,000",14.71,1.22,0.04,50,50,14.71,1.22,0.04,15.97,2,13,15,0,3,3,0,0,0,23,51,13,0,0,33,1,-841,694,-596,85,8481059,,,
Jack Studnicka,26,C,LA,"$775,000",10.72,0.15,0.72,58,58,10.72,0.15,0.72,11.59,7,8,15,0,0,0,0,1,1,90,29,15,127,186,69,-7,-829,691,-478,191,8480021,,,
Linus Karlsson,26,C,VAN,"$775,000",10.14,0.90,0.00,42,42,10.14,0.90,0.00,11.03,7,8,15,1,2,3,0,0,0,46,15,8,0,5,51,0,-986,743,-635,101,8481024,,,
Ethen Frank,27,C,WSH,"$775,000",10.22,0.63,0.00,42,42,10.22,0.63,0.00,10.84,7,8,15,1,1,2,0,0,0,19,24,6,0,2,45,0,-1046,754,-695,92,8483573,,,
Jack Thompson,23,D,SJ,"$800,000",14.21,1.14,0.44,46,46,14.21,1.14,0.44,15.79,5,10,15,0,3,3,0,0,0,20,70,13,0,0,61,-1,-736,651,-491,119,8482144,,,
Isaak Phillips,24,D,WPG,"$812,500",15.87,0.18,1.20,62,62,15.87,0.18,1.20,17.25,3,12,15,0,1,1,0,0,0,83,65,17,0,0,62,-12,-640,594,-395,122,8482192,,,
Elias Pettersson (D),21,D,VAN,"$838,333",16.50,0.02,0.29,60,60,16.50,0.02,0.29,16.81,4,11,15,0,0,0,0,0,0,102,60,23,0,0,64,-2,-587,566,-341,129,8483678,,,
Zemgus Girgensons,32,"LW,RW",TB,"$850,000",10.02,0.10,1.41,80,80,10.02,0.10,1.41,11.52,7,8,15,0,0,0,1,0,1,154,46,24,63,69,82,-4,-538,536,-239,184,8476878,,,
Emil Andrae,23,D,PHI,"$903,333",15.70,1.32,0.31,54,54,15.70,1.32,0.31,17.33,3,12,15,1,4,5,0,0,0,57,63,15,0,0,69,3,-644,599,-398,135,8482126,,,
Ty Emberson,25,D,EDM,"$1,300,000",13.70,0.07,1.71,74,74,13.70,0.07,1.71,15.48,2,13,15,0,0,0,0,0,0,126,91,17,0,0,64,0,-507,517,-261,149,8480834,,,
Urho Vaakanainen,27,D,NYR,"$1,550,000",15.55,0.05,1.02,68,68,15.55,0.05,1.02,16.62,2,13,15,0,0,0,0,0,0,29,73,19,0,0,62,-3,-716,643,-471,113,8480001,,,
Jake Bean,27,D,CGY,"$1,750,000",14.78,0.10,0.51,70,70,14.78,0.10,0.51,15.39,4,11,15,0,0,0,0,0,0,26,70,18,0,0,75,-4,-707,640,-461,125,8479402,,,
Luke Schenn,36,D,WPG,"$2,750,000",14.53,0.05,1.33,76,76,14.53,0.05,1.33,15.91,3,12,15,0,0,0,0,0,0,270,99,50,0,0,77,0,8,173,254,184,8474568,,,
Henri Jokiharju,26,D,BOS,"$3,000,000",16.86,0.34,0.91,66,66,16.86,0.34,0.91,18.11,3,12,15,0,2,2,0,0,0,53,65,19,0,0,71,2,-652,607,-406,130,8480035,,,
Ilya Lyubushkin,31,D,DAL,"$3,250,000",14.95,0.04,2.36,78,78,14.95,0.04,2.36,17.35,2,13,15,0,0,0,0,1,1,94,136,37,0,0,50,-4,-340,398,-95,135,8480950,,,
Brandon Carlo,29,D,TOR,"$4,100,000",16.39,0.06,2.66,80,80,16.39,0.06,2.66,19.11,3,12,15,0,0,0,0,1,1,92,139,34,0,0,77,6,-303,374,-58,167,8478443,,,
Jan Rutta,35,D,SJ,$1,15.67,0.04,2.02,77,77,15.67,0.04,2.02,17.73,4,10,14,0,0,0,0,1,1,59,109,35,0,0,72,-14,-449,469,-203,131,8480172,,,
Tyler Motte,30,LW,DET,$1,9.67,0.16,1.64,69,69,9.67,0.16,1.64,11.47,7,7,14,0,0,0,1,0,1,93,50,12,63,83,83,-4,-719,646,-419,177,8477353,,,
Jonah Gadjovich,27,LW,FLA,"$775,000",8.25,0.27,0.09,65,65,8.25,0.27,0.09,8.60,7,7,14,1,1,2,0,0,0,178,26,55,3,2,62,-1,-369,420,-69,121,8479981,,,
Dennis Cholowski,27,D,NJ,"$775,000",11.81,1.23,0.02,53,53,11.81,1.23,0.02,13.06,3,11,14,1,4,5,0,0,0,9,46,12,0,0,44,-1,-847,695,-601,91,8479395,,,
Mikael Pyyhtia,24,LW,CBJ,"$775,000",11.08,0.16,1.38,54,54,11.08,0.16,1.38,12.61,6,8,14,0,0,0,1,0,1,28,43,9,2,3,52,-6,-931,721,-631,99,8482451,,,
Tyson Jost,27,C,CAR,"$775,000",9.88,0.64,0.35,45,45,9.88,0.64,0.35,10.87,6,8,14,1,1,2,0,0,0,49,20,16,67,82,52,-1,-937,722,-586,128,8479370,,,
Max Sasson,25,C,VAN,"$775,000",10.47,0.08,0.00,46,46,10.47,0.08,0.00,10.56,6,8,14,0,0,0,0,0,0,28,20,4,70,90,46,-1,-1086,761,-736,124,8484136,,,
Anthony Richard,29,C,PHI,"$775,000",10.84,1.36,0.00,33,33,10.84,1.36,0.00,12.20,6,8,14,1,2,3,0,0,0,16,15,4,0,4,44,0,-1089,762,-738,86,8478409,,,
Samuel Helenius,23,C,LA,"$805,833",8.97,0.12,0.00,60,60,8.97,0.12,0.00,9.09,7,7,14,0,0,0,0,0,0,181,20,22,147,170,43,-1,-703,637,-352,186,8482726,,,
Marc Gatcomb,26,RW,NYI,"$900,000",9.83,0.09,0.00,53,53,9.83,0.09,0.00,9.91,9,5,14,0,0,0,0,0,0,198,29,12,6,9,53,-1,-643,597,-339,142,8483553,,,
Oliver Kapanen,22,C,MTL,"$925,000",9.79,1.41,0.21,38,38,9.79,1.41,0.21,11.42,6,8,14,2,3,5,0,0,0,4,16,5,39,48,47,-2,-1071,760,-721,106,8482775,,,
Logan Stanley,27,D,WPG,"$1,250,000",14.15,0.04,1.18,66,66,14.15,0.04,1.18,15.36,3,11,14,0,0,0,0,0,0,91,81,55,0,0,59,0,-363,414,-118,112,8479378,,,
Arber Xhekaj,25,D,MTL,"$1,300,000",13.83,0.20,0.73,71,71,13.83,0.20,0.73,14.77,3,11,14,0,1,1,0,0,0,169,68,91,0,0,76,-6,16,168,262,121,8482964,,,
Beck Malenstyn,27,LW,BUF,"$1,350,000",9.49,0.04,1.70,75,75,9.49,0.04,1.70,11.22,6,8,14,0,0,0,0,1,1,189,65,22,12,10,71,-6,-470,491,-171,162,8479359,,,
Jayden Struble,24,D,MTL,"$1,412,500",14.63,0.05,0.46,62,62,14.63,0.05,0.46,15.14,3,11,14,0,0,0,0,0,0,124,59,41,0,0,52,1,-467,487,-221,112,8481593,,,
Jeremy Lauzon,28,D,VGK,"$2,000,000",15.45,0.08,2.47,78,78,15.45,0.08,2.47,18.01,4,10,14,0,0,0,0,1,1,323,98,73,0,0,80,-1,249,89,494,187,8478468,,,
Juuso Valimaki,27,D,UTA,"$2,000,000",15.58,0.40,0.91,56,56,15.58,0.40,0.91,16.89,3,11,14,0,1,1,0,0,0,32,65,18,0,0,52,-2,-750,653,-505,103,8479976,,,
Mathew Dumba,31,D,PIT,"$3,750,000",14.86,0.52,0.90,69,69,14.86,0.52,0.90,16.28,3,11,14,0,3,3,0,0,0,79,74,50,0,0,70,-7,-379,428,-134,118,8476856,,,
Mattias Samuelsson,25,D,BUF,"$4,285,714",16.69,0.04,2.70,72,72,16.69,0.04,2.70,19.43,3,11,14,0,0,0,0,1,1,118,112,21,0,0,64,2,-445,467,-199,154,8480807,,,
Jarred Tinordi,33,D,CGY,$1,14.18,0.15,1.55,70,70,14.18,0.15,1.55,15.88,1,12,13,0,1,1,0,1,1,174,103,56,0,0,41,-15,-187,291,59,114,8475797,,,
Oliver Kylington,28,D,ANA,$1,12.60,0.06,0.36,60,60,12.60,0.06,0.36,13.02,3,10,13,0,0,0,0,0,0,15,61,17,0,0,40,-1,-839,693,-593,84,8478430,,,
Kevin Rooney,32,C,CGY,$1,7.37,0.16,1.84,70,70,7.37,0.16,1.84,9.36,7,6,13,0,0,0,1,0,1,106,39,10,143,158,52,-2,-854,696,-503,183,8479291,,,
Samuel Bolduc,25,D,NYI,"$775,000",12.99,0.49,0.11,62,62,12.99,0.49,0.11,13.60,3,10,13,0,2,2,0,0,0,64,62,12,0,0,59,-2,-724,648,-478,118,8481541,,,
Ryan Johnson,24,D,BUF,"$775,000",13.95,0.16,0.12,62,62,13.95,0.16,0.12,14.23,2,11,13,0,1,1,0,0,0,9,58,15,0,0,56,1,-832,692,-587,98,8481564,,,
Kailer Yamamoto,27,RW,UTA,"$775,000",11.12,1.69,0.36,36,36,11.12,1.69,0.36,13.16,6,7,13,1,2,3,0,0,0,28,13,9,21,35,41,0,-1007,747,-703,92,8479977,,,
Ben Meyers,27,C,SEA,"$775,000",9.80,0.03,0.40,58,58,9.80,0.03,0.40,10.22,6,7,13,0,0,0,0,0,0,70,17,11,100,106,46,-2,-983,740,-632,138,8483570,,,
Nikita Alexandrov,25,C,STL,"$775,000",9.14,0.07,0.08,58,58,9.14,0.07,0.08,9.30,5,8,13,0,0,0,0,0,0,68,22,9,88,145,48,-2,-986,742,-635,146,8481543,,,
Olle Lycksell,26,RW,OTT,"$775,000",10.88,0.88,0.00,37,37,10.88,0.88,0.00,11.75,5,8,13,1,1,2,0,0,0,15,12,8,4,4,44,0,-1048,755,-744,79,8480245,,,
Brendan Brisson,24,C,VGK,"$775,000",11.92,0.93,0.04,30,30,11.92,0.93,0.04,12.88,5,8,13,1,1,2,0,0,0,25,11,5,7,7,43,-1,-1102,764,-751,83,8482153,,,
Jansen Harkins,28,C,ANA,"$787,500",9.31,0.18,1.12,66,66,9.31,0.18,1.12,10.61,5,8,13,0,1,1,1,0,1,122,34,20,61,61,54,-4,-764,659,-414,140,8478424,,,
Nikita Nesterenko,24,C,ANA,"$787,500",10.50,0.13,0.03,38,38,10.50,0.13,0.03,10.65,7,6,13,0,0,0,0,0,0,79,14,5,0,5,42,-1,-1018,751,-668,94,8481754,,,
Kaedan Korczak,25,D,VGK,"$825,000",14.97,0.10,0.25,50,50,14.97,0.10,0.25,15.32,2,11,13,0,0,0,0,0,0,70,51,9,0,0,47,6,-811,684,-565,106,8481527,,,
Ivan Miroshnichenko,21,LW,WSH,"$950,000",9.38,1.03,0.00,36,36,9.38,1.03,0.00,10.41,6,7,13,1,2,3,0,0,0,55,13,5,0,1,44,0,-976,736,-676,92,8483491,,,
Matt Rempe,23,RW,NYR,"$975,000",8.79,0.12,0.00,49,49,8.79,0.12,0.00,8.91,6,7,13,0,0,0,0,0,0,137,17,39,2,11,41,-1,-646,600,-342,93,8482460,,,
Ben Hutton,32,D,VGK,"$975,000",15.20,1.07,0.19,43,43,15.20,1.07,0.19,16.47,3,10,13,0,3,3,0,0,0,17,51,13,0,0,66,2,-805,681,-559,111,8477018,,,
Travis Hamonic,35,D,DET,"$1,000,000",15.22,0.06,1.62,70,70,15.22,0.06,1.62,16.90,3,10,13,0,0,0,0,1,1,80,109,33,0,0,85,-9,-412,443,-166,148,8474612,,,
Parker Wotherspoon,28,D,PIT,"$1,000,000",16.49,0.14,1.46,61,61,16.49,0.14,1.46,18.09,2,11,13,0,1,1,0,0,0,78,78,17,0,0,49,-2,-658,611,-412,115,8478450,,,
Drew Helleson,24,D,ANA,"$1,100,000",15.36,0.02,0.97,63,63,15.36,0.02,0.97,16.35,4,9,13,0,0,0,0,0,0,107,82,39,0,0,71,-9,-419,450,-174,130,8481563,,,
Brayden Pachal,26,D,CGY,"$1,187,500",13.10,0.04,1.17,73,73,13.10,0.04,1.17,14.30,3,10,13,0,0,0,0,1,1,141,82,51,0,0,67,-2,-292,368,-46,131,8481167,,,
Zach Bogosian,35,D,MIN,"$1,250,000",14.35,0.05,1.59,76,76,14.35,0.05,1.59,15.99,3,10,13,0,0,0,0,0,0,83,82,40,0,0,74,-1,-452,472,-207,129,8474567,,,
Derek Forbort,33,D,VAN,"$2,000,000",14.82,0.07,2.39,70,70,14.82,0.07,2.39,17.28,3,10,13,0,0,0,0,1,1,85,104,37,0,0,49,-1,-456,475,-210,117,8475762,,,
Ryan Lomberg,31,LW,CGY,"$2,000,000",8.57,0.13,0.16,80,80,8.57,0.13,0.16,8.86,6,7,13,0,0,0,0,0,0,127,20,41,5,10,70,-3,-585,565,-286,116,8479066,,,
Scott Mayfield,33,D,NYI,"$3,500,000",15.48,0.04,1.87,68,68,15.48,0.04,1.87,17.39,2,11,13,0,0,0,0,1,1,86,116,34,0,0,55,-2,-434,459,-188,128,8476429,,,
Johnathan Kovacevic,28,D,NJ,"$4,000,000",16.87,0.10,2.34,55,55,16.87,0.10,2.34,19.31,3,10,13,0,0,0,0,0,0,63,69,37,0,0,52,6,-582,560,-336,104,8480192,,,
Alex Pietrangelo,36,D,VGK,"$8,800,000",19.33,1.12,2.17,25,25,19.33,1.12,2.17,22.63,2,11,13,0,2,2,0,0,0,15,52,6,0,0,46,2,-902,707,-657,94,8474565,,,
Calvin de Haan,34,D,NYR,$1,14.13,0.15,1.09,58,58,14.13,0.15,1.09,15.37,2,10,12,0,1,1,0,0,0,81,70,16,0,0,60,4,-668,615,-422,123,8475177,,,
William Lockwood,27,RW,FLA,$1,8.29,0.00,0.27,62,62,8.29,0.00,0.27,8.56,5,7,12,0,0,0,0,0,0,121,21,18,9,9,50,0,-794,677,-490,107,8479367,,,
Marc Del Gaizo,26,D,NSH,"$775,000",15.78,0.13,0.85,52,52,15.78,0.13,0.85,16.76,3,9,12,0,0,0,0,0,0,78,64,19,0,0,83,1,-637,593,-391,138,8481743,,,
P.O. Joseph,26,D,VAN,"$775,000",14.36,0.06,0.79,66,66,14.36,0.06,0.79,15.20,2,10,12,0,0,0,0,0,0,49,52,32,0,0,58,-3,-684,625,-438,94,8480058,,,
Jordan Oesterle,33,D,NSH,"$775,000",16.02,0.23,0.43,48,48,16.02,0.23,0.43,16.69,3,9,12,0,1,1,0,0,0,35,71,10,0,0,48,-4,-804,680,-559,102,8477851,,,
Tomas Nosek,33,LW,FLA,"$775,000",8.64,0.17,1.20,60,60,8.64,0.17,1.20,10.01,4,8,12,0,0,0,0,1,1,73,26,15,196,170,51,-1,-881,702,-582,178,8477931,,,
