Player Name,Age,Positions,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Brett Pesce,31,D,NJ,"$5,500,000",18.88,0.18,2.16,76,76,18.88,0.18,2.16,21.22,4,18,22,0,1,1,0,1,1,25,126,25,0,0,102,4,-397,435,-152,187,8477488,,,
Dylan Samberg,27,D,WPG,"$5,750,000",17.98,0.11,2.26,78,78,17.98,0.11,2.26,20.35,5,17,22,0,1,1,0,1,1,72,141,36,0,0,106,14,-194,299,52,209,8480049,,,
Jeff Petry,38,D,FLA,"$775,000",17.48,0.23,1.32,73,73,17.48,0.23,1.32,19.03,3,18,21,0,1,1,0,0,0,94,122,26,0,0,66,-5,-357,411,-111,162,8473507,,,
Victor Soderstrom,24,D,BOS,"$775,000",15.25,0.95,0.33,70,70,15.25,0.95,0.33,16.53,3,18,21,1,5,6,0,0,0,34,90,29,0,0,71,-3,-459,480,-213,145,8481599,,,
Nick Blankenburg,27,D,NSH,"$775,000",16.13,1.08,2.11,62,62,16.13,1.08,2.11,19.32,6,15,21,1,5,6,0,0,0,61,83,20,0,0,81,1,-461,482,-216,167,8483565,,,
Mitchell Chaffee,28,RW,TB,"$800,000",10.89,0.95,0.03,66,66,10.89,0.95,0.03,11.87,11,10,21,3,2,5,0,0,0,144,29,16,3,7,66,-4,-567,550,-263,158,8482070,,,
Parker Kelly,26,"C,LW",COL,"$825,000",10.52,0.23,1.97,80,80,10.52,0.23,1.97,12.71,9,12,21,1,1,2,1,1,2,182,66,32,175,225,98,-2,-277,355,22,286,8480448,,,
Maveric Lamoureux,22,D,UTA,"$886,666",17.00,0.04,0.71,78,78,17.00,0.04,0.71,17.75,6,15,21,0,0,0,0,0,0,92,88,71,0,0,101,1,-98,244,148,162,8483472,,,
Mike Reilly,32,D,CAR,"$1,100,000",13.71,1.68,0.09,68,68,13.71,1.68,0.09,15.48,4,17,21,1,6,7,0,0,0,24,63,19,0,0,106,2,-534,534,-288,172,8476422,,,
Alexey Toropchenko,26,RW,STL,"$1,700,000",11.36,0.27,1.10,78,78,11.36,0.27,1.10,12.72,10,11,21,1,1,2,1,0,1,196,54,21,2,2,92,-5,-368,418,-64,196,8480281,,,
Morgan Barron,27,C,WPG,"$1,850,000",9.37,0.22,1.25,77,77,9.37,0.22,1.25,10.83,11,10,21,1,1,2,2,0,2,124,41,19,73,67,95,4,-581,558,-230,213,8480289,,,
Braden Schneider,24,D,NYR,"$2,200,000",15.94,0.07,1.49,79,79,15.94,0.07,1.49,17.50,5,16,21,0,0,0,0,1,1,135,137,15,0,0,92,-3,-275,352,-29,210,8482073,,,
Casey Cizikas,34,"C,LW",NYI,"$2,500,000",11.88,0.15,1.08,80,80,11.88,0.15,1.08,13.12,9,12,21,0,1,1,1,0,1,181,64,29,313,248,92,-6,-327,389,-27,316,8475231,,,
Miles Wood,30,LW,CBJ,"$2,500,000",10.70,0.18,0.66,70,70,10.70,0.18,0.66,11.53,10,11,21,0,0,0,0,1,1,90,28,51,4,12,116,-3,-405,436,-105,167,8477425,,,
Martin Fehervary,26,D,WSH,"$2,675,000",16.23,0.06,2.58,80,80,16.23,0.06,2.58,18.87,5,16,21,0,0,0,0,1,1,143,138,26,0,0,76,2,-216,314,30,194,8480796,,,
Jalen Chatfield,29,D,CAR,"$3,000,000",16.76,0.05,1.46,78,78,16.76,0.05,1.46,18.27,7,14,21,0,0,0,0,1,1,61,74,32,0,0,113,15,-418,448,-172,187,8478970,,,
Olli Maatta,31,D,UTA,"$3,500,000",17.50,0.07,1.46,75,75,17.50,0.07,1.46,19.03,5,16,21,0,0,0,0,0,0,32,114,13,0,0,63,4,-583,562,-337,153,8476874,,,
Brayden McNabb,35,D,VGK,"$3,650,000",18.01,0.04,2.00,82,82,18.01,0.04,2.00,20.05,4,17,21,0,0,0,0,1,1,126,173,31,0,0,87,18,-104,247,142,219,8475188,,,
Will Borgen,29,D,NYR,"$4,100,000",15.81,0.09,1.30,82,82,15.81,0.09,1.30,17.20,4,17,21,0,1,1,0,1,1,126,107,31,0,0,81,-5,-277,356,-32,176,8478840,,,
